Case #1: 275
5 6 25
6 7 24
7 8 23
8 9 22
9 10 21
10 11 20
11 12 19
12 13 18
13 14 17
14 15 16
15 16 15
16 17 14
17 18 13
18 19 12
19 20 11
20 21 10
21 22 9
22 23 8
23 24 7
24 25 6
25 26 5
26 27 4
27 28 3
28 29 2
29 46 1
Case #131: 324
27
1 40 27
1 2 26
2 3 25
3 4 24
4 5 23
5 6 22
6 7 21
7 8 20
8 9 19
9 10 18
10 11 17
11 12 16
12 13 15
13 14 14
14 15 13
15 16 12
16 17 11
17 18 10
18 19 9
19 20 8
20 21 7
21 22 6
22 23 5
23 24 4
24 25 3
25 26 2
26 40 1
Case #132: 329
22
1 22 28
1 2 27
2 3 26
3 4 25
4 5 24
5 6 23
6 7 22
7 8 21
8 9 20
9 10 19
10 11 18
11 12 17
12 13 16
13 14 15
14 15 14
15 16 13
16 17 12
17 18 11
18 19 10
19 20 9
20 21 8
21 22 7
Case #133: 0
3
1 27 3
1 2 2
2 27 1
Case #134: 14
7
1 32 7
1 2 6
2 3 5
3 4 4
4 5 3
5 6 2
6 32 1
Case #135: 604
24
1 24 40
1 2 39
2 3 38
3 4 37
4 5 36
5 6 35
6 7 34
7 8 33
8 9 32
9 10 31
10 11 30
11 12 29
12 13 28
13 14 27
14 15 26
15 16 25
16 17 24
17 18 23
18 19 22
19 20 21
20 21 20
21 22 19
22 23 18
23 24 17
Case #136: 495
33
1 48 33
1 2 32
2 3 31
3 4 30
4 5 29
5 6 28
6 7 27
7 8 26
8 9 25
9 10 24
10 11 23
11 12 22
12 13 21
13 14 20
14 15 19
15 16 18
16 17 17
17 18 16
18 19 15
19 20 14
20 21 13
21 22 12
22 23 11
23 24 10
24 25 9
25 26 8
26 27 7
27 28 6
28 29 5
29 30 4
30 31 3
31 32 2
32 48 1
Case #137: 402
28
1 28 30
1 2 29
2 3 28
3 4 27
4 5 26
5 6 25
6 7 24
7 8 23
8 9 22
9 10 21
10 11 20
11 12 19
12 13 18
13 14 17
14 15 16
15 16 15
16 17 14
17 18 13
18 19 12
19 20 11
20 21 10
21 22 9
22 23 8
23 24 7
24 25 6
25 26 5
26 27 4
27 28 3
Case #138: 509
14
1 14 50
1 2 49
2 3 48
3 4 47
4 5 46
5 6 45
6 7 44
7 8 43
8 9 42
9 10 41
10 11 40
11 12 39
12 13 38
13 14 37
Case #139: 305
19
1 19 28
1 2 27
2 3 26
3 4 25
4 5 24
5 6 23
6 7 22
7 8 21
8 9 20
9 10 19
10 11 18
11 12 17
12 13 16
13 14 15
14 15 14
15 16 13
16 17 12
17 18 11
18 19 10
Case #140: 0
1
1 2 1
Case #141: 90
15
1 46 15
1 2 14
2 3 13
3 4 12
4 5 11
5 6 10
6 7 9
7 8 8
8 9 7
9 10 6
10 11 5
11 12 4
12 13 3
13 14 2
14 46 1
Case #142: 0
1
1 2 1
Case #143: 850
25
1 25 50
1 2 49
2 3 48
3 4 47
4 5 46
5 6 45
6 7 44
7 8 43
8 9 42
9 10 41
10 11 40
11 12 39
12 13 38
13 14 37
14 15 36
15 16 35
16 17 34
17 18 33
18 19 32
19 20 31
20 21 30
21 22 29
22 23 28
23 24 27
24 25 26
Case #144: 350
28
1 29 28
1 2 27
2 3 26
3 4 25
4 5 24
5 6 23
6 7 22
7 8 21
8 9 20
9 10 19
10 11 18
11 12 17
12 13 16
13 14 15
14 15 14
15 16 13
16 17 12
17 18 11
18 19 10
19 20 9
20 21 8
21 22 7
22 23 6
23 24 5
24 25 4
25 26 3
26 27 2
27 29 1
Case #145: 0
3
1 26 3
1 2 2
2 26 1
Case #146: 532
28
1 28 35
1 2 34
2 3 33
3 4 32
4 5 31
5 6 30
6 7 29
7 8 28
8 9 27
9 10 26
10 11 25
11 12 24
12 13 23
13 14 22
14 15 21
15 16 20
16 17 19
17 18 18
18 19 17
19 20 16
20 21 15
21 22 14
22 23 13
23 24 12
24 25 11
25 26 10
26 27 9
27 28 8
Case #147: 44
11
1 24 11
1 2 10
2 3 9
3 4 8
4 5 7
5 6 6
6 7 5
7 8 4
8 9 3
9 10 2
10 24 1
Case #148: 0
3
1 18 3
1 2 2
2 18 1
Case #149: 0
1
1 3 1
Case #150: 359
17
1 17 33
1 2 32
2 3 31
3 4 30
4 5 29
5 6 28
6 7 27
7 8 26
8 9 25
9 10 24
10 11 23
11 12 22
12 13 21
13 14 20
14 15 19
15 16 18
16 17 17
Case #151: 714
28
1 28 42
1 2 41
2 3 40
3 4 39
4 5 38
5 6 37
6 7 36
7 8 35
8 9 34
9 10 33
10 11 32
11 12 31
12 13 30
13 14 29
14 15 28
15 16 27
16 17 26
17 18 25
18 19 24
19 20 23
20 21 22
21 22 21
22 23 20
23 24 19
24 25 18
25 26 17
26 27 16
27 28 15
Case #152: 54
12
1 37 12
1 2 11
2 3 10
3 4 9
4 5 8
5 6 7
6 7 6
7 8 5
8 9 4
9 10 3
10 11 2
11 37 1
Case #153: 0
1
1 4 1
Case #154: 42
4
1 4 24
1 2 23
2 3 22
3 4 21
Case #155: 626
24
1 24 41
1 2 40
2 3 39
3 4 38
4 5 37
5 6 36
6 7 35
7 8 34
8 9 33
9 10 32
10 11 31
11 12 30
12 13 29
13 14 28
14 15 27
15 16 26
16 17 25
17 18 24
18 19 23
19 20 22
20 21 21
21 22 20
22 23 19
23 24 18
Case #156: 76
9
1 9 16
1 2 15
2 3 14
3 4 13
4 5 12
5 6 11
6 7 10
7 8 9
8 9 8
Case #157: 299
26
1 30 26
1 2 25
2 3 24
3 4 23
4 5 22
5 6 21
6 7 20
7 8 19
8 9 18
9 10 17
10 11 16
11 12 15
12 13 14
13 14 13
14 15 12
15 16 11
16 17 10
17 18 9
18 19 8
19 20 7
20 21 6
21 22 5
22 23 4
23 24 3
24 25 2
25 30 1
Case #158: 284
12
1 12 35
1 2 34
2 3 33
3 4 32
4 5 31
5 6 30
6 7 29
7 8 28
8 9 27
9 10 26
10 11 25
11 12 24
Case #159: 407
18
1 18 35
1 2 34
2 3 33
3 4 32
4 5 31
5 6 30
6 7 29
7 8 28
8 9 27
9 10 26
10 11 25
11 12 24
12 13 23
13 14 22
14 15 21
15 16 20
16 17 19
17 18 18
Case #160: 687
34
1 34 39
1 2 38
2 3 37
3 4 36
4 5 35
5 6 34
6 7 33
7 8 32
8 9 31
9 10 30
10 11 29
11 12 28
12 13 27
13 14 26
14 15 25
15 16 24
16 17 23
17 18 22
18 19 21
19 20 20
20 21 19
21 22 18
22 23 17
23 24 16
24 25 15
25 26 14
26 27 13
27 28 12
28 29 11
29 30 10
30 31 9
31 32 8
32 33 7
33 34 6
Case #161: 179
10
1 10 28
1 2 27
2 3 26
3 4 25
4 5 24
5 6 23
6 7 22
7 8 21
8 9 20
9 10 19
Case #162: 0
3
1 28 3
1 2 2
2 28 1
Case #163: 9
6
1 11 6
1 2 5
2 3 4
3 4 3
4 5 2
5 11 1
Case #164: 90
15
1 49 15
1 2 14
2 3 13
3 4 12
4 5 11
5 6 10
6 7 9
7 8 8
8 9 7
9 10 6
10 11 5
11 12 4
12 13 3
13 14 2
14 49 1
Case #165: 2
4
1 21 4
1 2 3
2 3 2
3 21 1
Case #166: 702
21
1 21 48
1 2 47
2 3 46
3 4 45
4 5 44
5 6 43
6 7 42
7 8 41
8 9 40
9 10 39
10 11 38
11 12 37
12 13 36
13 14 35
14 15 34
15 16 33
16 17 32
17 18 31
18 19 30
19 20 29
20 21 28
Case #167: 769
22
1 22 50
1 2 49
2 3 48
3 4 47
4 5 46
5 6 45
6 7 44
7 8 43
8 9 42
9 10 41
10 11 40
11 12 39
12 13 38
13 14 37
14 15 36
15 16 35
16 17 34
17 18 33
18 19 32
19 20 31
20 21 30
21 22 29
Case #168: 414
12
1 12 48
1 2 47
2 3 46
3 4 45
4 5 44
5 6 43
6 7 42
7 8 41
8 9 40
9 10 39
10 11 38
11 12 37
Case #169: 1039
34
1 34 50
1 2 49
2 3 48
3 4 47
4 5 46
5 6 45
6 7 44
7 8 43
8 9 42
9 10 41
10 11 40
11 12 39
12 13 38
13 14 37
14 15 36
15 16 35
16 17 34
17 18 33
18 19 32
19 20 31
20 21 30
21 22 29
22 23 28
23 24 27
24 25 26
25 26 25
26 27 24
27 28 23
28 29 22
29 30 21
30 31 20
31 32 19
32 33 18
33 34 17
Case #170: 1059
42
1 42 48
1 2 47
2 3 46
3 4 45
4 5 44
5 6 43
6 7 42
7 8 41
8 9 40
9 10 39
10 11 38
11 12 37
12 13 36
13 14 35
14 15 34
15 16 33
16 17 32
17 18 31
18 19 30
19 20 29
20 21 28
21 22 27
22 23 26
23 24 25
24 25 24
25 26 23
26 27 22
27 28 21
28 29 20
29 30 19
30 31 18
31 32 17
32 33 16
33 34 15
34 35 14
35 36 13
36 37 12
37 38 11
38 39 10
39 40 9
40 41 8
41 42 7
Case #171: 649
22
1 22 44
1 2 43
2 3 42
3 4 41
4 5 40
5 6 39
6 7 38
7 8 37
8 9 36
9 10 35
10 11 34
11 12 33
12 13 32
13 14 31
14 15 30
15 16 29
16 17 28
17 18 27
18 19 26
19 20 25
20 21 24
21 22 23
Case #172: 152
19
1 43 19
1 2 18
2 3 17
3 4 16
4 5 15
5 6 14
6 7 13
7 8 12
8 9 11
9 10 10
10 11 9
11 12 8
12 13 7
13 14 6
14 15 5
15 16 4
16 17 3
17 18 2
18 43 1
Case #173: 0
1
1 20 1
Case #174: 953
38
1 38 46
1 2 45
2 3 44
3 4 43
4 5 42
5 6 41
6 7 40
7 8 39
8 9 38
9 10 37
10 11 36
11 12 35
12 13 34
13 14 33
14 15 32
15 16 31
16 17 30
17 18 29
18 19 28
19 20 27
20 21 26
21 22 25
22 23 24
23 24 23
24 25 22
25 26 21
26 27 20
27 28 19
28 29 18
29 30 17
30 31 16
31 32 15
32 33 14
33 34 13
34 35 12
35 36 11
36 37 10
37 38 9
Case #175: 0
1
1 16 1
Case #176: 44
4
1 4 25
1 2 24
2 3 23
3 4 22
Case #177: 824
35
1 35 43
1 2 42
2 3 41
3 4 40
4 5 39
5 6 38
6 7 37
7 8 36
8 9 35
9 10 34
10 11 33
11 12 32
12 13 31
13 14 30
14 15 29
15 16 28
16 17 27
17 18 26
18 19 25
19 20 24
20 21 23
21 22 22
22 23 21
23 24 20
24 25 19
25 26 18
26 27 17
27 28 16
28 29 15
29 30 14
30 31 13
31 32 12
32 33 11
33 34 10
34 35 9
Case #178: 25
6
1 6 10
1 2 9
2 3 8
3 4 7
4 5 6
5 6 5
Case #179: 104
16
1 16 16
1 2 15
2 3 14
3 4 13
4 5 12
5 6 11
6 7 10
7 8 9
8 9 8
9 10 7
10 11 6
11 12 5
12 13 4
13 14 3
14 15 2
15 16 1
Case #180: 1034
47
1 48 47
1 2 46
2 3 45
3 4 44
4 5 43
5 6 42
6 7 41
7 8 40
8 9 39
9 10 38
10 11 37
11 12 36
12 13 35
13 14 34
14 15 33
15 16 32
16 17 31
17 18 30
18 19 29
19 20 28
20 21 27
21 22 26
22 23 25
23 24 24
24 25 23
25 26 22
26 27 21
27 28 20
28 29 19
29 30 18
30 31 17
31 32 16
32 33 15
33 34 14
34 35 13
35 36 12
36 37 11
37 38 10
38 39 9
39 40 8
40 41 7
41 42 6
42 43 5
43 44 4
44 45 3
45 46 2
46 48 1
Case #181: 278
11
1 11 37
1 2 36
2 3 35
3 4 34
4 5 33
5 6 32
6 7 31
7 8 30
8 9 29
9 10 28
10 11 27
Case #182: 5
5
1 20 5
1 2 4
2 3 3
3 4 2
4 20 1
Case #183: 5
5
1 11 5
1 2 4
2 3 3
3 4 2
4 11 1
Case #184: 464
32
1 34 32
1 2 31
2 3 30
3 4 29
4 5 28
5 6 27
6 7 26
7 8 25
8 9 24
9 10 23
10 11 22
11 12 21
12 13 20
13 14 19
14 15 18
15 16 17
16 17 16
17 18 15
18 19 14
19 20 13
20 21 12
21 22 11
22 23 10
23 24 9
24 25 8
25 26 7
26 27 6
27 28 5
28 29 4
29 30 3
30 31 2
31 34 1
Case #185: 635
26
1 26 40
1 2 39
2 3 38
3 4 37
4 5 36
5 6 35
6 7 34
7 8 33
8 9 32
9 10 31
10 11 30
11 12 29
12 13 28
13 14 27
14 15 26
15 16 25
16 17 24
17 18 23
18 19 22
19 20 21
20 21 20
21 22 19
22 23 18
23 24 17
24 25 16
25 26 15
Case #186: 2
4
1 39 4
1 2 3
2 3 2
3 39 1
Case #187: 1049
37
1 37 49
1 2 48
2 3 47
3 4 46
4 5 45
5 6 44
6 7 43
7 8 42
8 9 41
9 10 40
10 11 39
11 12 38
12 13 37
13 14 36
14 15 35
15 16 34
16 17 33
17 18 32
18 19 31
19 20 30
20 21 29
21 22 28
22 23 27
23 24 26
24 25 25
25 26 24
26 27 23
27 28 22
28 29 21
29 30 20
30 31 19
31 32 18
32 33 17
33 34 16
34 35 15
35 36 14
36 37 13
Case #188: 53
5
1 5 21
1 2 20
2 3 19
3 4 18
4 5 17
Case #189: 252
24
1 47 24
1 2 23
2 3 22
3 4 21
4 5 20
5 6 19
6 7 18
7 8 17
8 9 16
9 10 15
10 11 14
11 12 13
12 13 12
13 14 11
14 15 10
15 16 9
16 17 8
17 18 7
18 19 6
19 20 5
20 21 4
21 22 3
22 23 2
23 47 1
Case #190: 27
9
1 38 9
1 2 8
2 3 7
3 4 6
4 5 5
5 6 4
6 7 3
7 8 2
8 38 1
Case #191: 704
32
1 32 40
1 2 39
2 3 38
3 4 37
4 5 36
5 6 35
6 7 34
7 8 33
8 9 32
9 10 31
10 11 30
11 12 29
12 13 28
13 14 27
14 15 26
15 16 25
16 17 24
17 18 23
18 19 22
19 20 21
20 21 20
21 22 19
22 23 18
23 24 17
24 25 16
25 26 15
26 27 14
27 28 13
28 29 12
29 30 11
30 31 10
31 32 9
Case #192: 629
37
1 43 37
1 2 36
2 3 35
3 4 34
4 5 33
5 6 32
6 7 31
7 8 30
8 9 29
9 10 28
10 11 27
11 12 26
12 13 25
13 14 24
14 15 23
15 16 22
16 17 21
17 18 20
18 19 19
19 20 18
20 21 17
21 22 16
22 23 15
23 24 14
24 25 13
25 26 12
26 27 11
27 28 10
28 29 9
29 30 8
30 31 7
31 32 6
32 33 5
33 34 4
34 35 3
35 36 2
36 43 1
Case #193: 840
31
1 31 45
1 2 44
2 3 43
3 4 42
4 5 41
5 6 40
6 7 39
7 8 38
8 9 37
9 10 36
10 11 35
11 12 34
12 13 33
13 14 32
14 15 31
15 16 30
16 17 29
17 18 28
18 19 27
19 20 26
20 21 25
21 22 24
22 23 23
23 24 22
24 25 21
25 26 20
26 27 19
27 28 18
28 29 17
29 30 16
30 31 15
Case #194: 189
21
1 21 21
1 2 20
2 3 19
3 4 18
4 5 17
5 6 16
6 7 15
7 8 14
8 9 13
9 10 12
10 11 11
11 12 10
12 13 9
13 14 8
14 15 7
15 16 6
16 17 5
17 18 4
18 19 3
19 20 2
20 21 1
Case #195: 119
17
1 44 17
1 2 16
2 3 15
3 4 14
4 5 13
5 6 12
6 7 11
7 8 10
8 9 9
9 10 8
10 11 7
11 12 6
12 13 5
13 14 4
14 15 3
15 16 2
16 44 1
Case #196: 40
4
1 4 23
1 2 22
2 3 21
3 4 20
Case #197: 77
14
1 49 14
1 2 13
2 3 12
3 4 11
4 5 10
5 6 9
6 7 8
7 8 7
8 9 6
9 10 5
10 11 4
11 12 3
12 13 2
13 49 1
Case #198: 527
34
1 34 34
1 2 33
2 3 32
3 4 31
4 5 30
5 6 29
6 7 28
7 8 27
8 9 26
9 10 25
10 11 24
11 12 23
12 13 22
13 14 21
14 15 20
15 16 19
16 17 18
17 18 17
18 19 16
19 20 15
20 21 14
21 22 13
22 23 12
23 24 11
24 25 10
25 26 9
26 27 8
27 28 7
28 29 6
29 30 5
30 31 4
31 32 3
32 33 2
33 34 1
Case #199: 54
12
1 21 12
1 2 11
2 3 10
3 4 9
4 5 8
5 6 7
6 7 6
7 8 5
8 9 4
9 10 3
10 11 2
11 21 1
Case #200: 689
25
1 25 43
1 2 42
2 3 41
3 4 40
4 5 39
5 6 38
6 7 37
7 8 36
8 9 35
9 10 34
10 11 33
11 12 32
12 13 31
13 14 30
14 15 29
15 16 28
16 17 27
17 18 26
18 19 25
19 20 24
20 21 23
21 22 22
22 23 21
23 24 20
24 25 19
